version,timestamp,userId,userName,operation,operationParameters,job,notebook,clusterId,readVersion,isolationLevel,isBlindAppend,operationMetrics,userMetadata
129,2023-12-15T14:33:28.000+0000,3752187686748374,[REDACTED],WRITE,"{""mode"":""Overwrite"",""partitionBy"":""[\""id_period_end_date\"",\""id_scenario_version\""]"",""predicate"":""(id_period_end_date='20231231' AND id_scenario_version='0')""}","{""jobId"":""779598763025137"",""jobName"":""ADF_elx-a2-df-01-sr-prd_aaro_databricks_template_Notebook1_a22f6c08-d4d0-4eaf-9c5e-f4fb8550b869"",""runId"":""642245708162816"",""jobOwnerId"":""3752187686748374"",""triggerType"":""manual""}","{""notebookId"":""2836153969401949""}",1215-142735-93vsipim,128,WriteSerializable,false,"{""numFiles"":""1"",""numOutputRows"":""623480"",""numOutputBytes"":""12479559""}",null
128,2023-12-15T14:30:28.000+0000,3752187686748374,[REDACTED],WRITE,"{""mode"":""Overwrite"",""partitionBy"":""[\""id_period_end_date\"",\""id_scenario_version\""]"",""predicate"":""(id_period_end_date='20231231' AND id_scenario_version='0')""}","{""jobId"":""204741224218354"",""jobName"":""ADF_elx-a2-df-01-sr-prd_aaro_databricks_template_Notebook1_480c9017-89b8-44c2-8596-ea3c0a2a8c11"",""runId"":""151658994462719"",""jobOwnerId"":""3752187686748374"",""triggerType"":""manual""}","{""notebookId"":""2836153969401949""}",1215-142540-ioyxp2rs,127,WriteSerializable,false,"{""numFiles"":""1"",""numOutputRows"":""623480"",""numOutputBytes"":""12479559""}",null
127,2023-12-15T11:12:06.000+0000,3752187686748374,[REDACTED],WRITE,"{""mode"":""Overwrite"",""partitionBy"":""[\""id_period_end_date\"",\""id_scenario_version\""]"",""predicate"":""(id_period_end_date='20231130' AND id_scenario_version='0') OR (id_period_end_date='20231031' AND id_scenario_version='0') OR (id_period_end_date='20230131' AND id_scenario_version='15')""}","{""jobId"":""967701724537098"",""jobName"":""ADF_elx-a2-df-01-sr-prd_aaro_databricks_template_Notebook1_2daaa565-0621-48ba-a3db-7151355af0cb"",""runId"":""187107559398786"",""jobOwnerId"":""3752187686748374"",""triggerType"":""manual""}","{""notebookId"":""2836153969401949""}",1215-110533-a32s4w8h,126,WriteSerializable,false,"{""numFiles"":""3"",""numOutputRows"":""1050196"",""numOutputBytes"":""20664609""}",null
126,2023-12-15T06:51:32.000+0000,3752187686748374,[REDACTED],WRITE,"{""mode"":""Overwrite"",""partitionBy"":""[\""id_period_end_date\"",\""id_scenario_version\""]"",""predicate"":""(id_period_end_date='20230930' AND id_scenario_version='0')""}","{""jobId"":""687845596132937"",""jobName"":""ADF_elx-a2-df-01-sr-prd_aaro_databricks_template_Notebook1_7aa624f4-1ec5-491b-ae4e-c5eae3aae20d"",""runId"":""367918440357212"",""jobOwnerId"":""3752187686748374"",""triggerType"":""manual""}","{""notebookId"":""2836153969401949""}",1215-064732-3w64obvd,125,WriteSerializable,false,"{""numFiles"":""1"",""numOutputRows"":""520002"",""numOutputBytes"":""10265347""}",null
125,2023-12-15T02:51:54.000+0000,3752187686748374,[REDACTED],WRITE,"{""mode"":""Overwrite"",""partitionBy"":""[\""id_period_end_date\"",\""id_scenario_version\""]"",""predicate"":""(id_period_end_date='20230930' AND id_scenario_version='0')""}","{""jobId"":""355195829779797"",""jobName"":""ADF_elx-a2-df-01-sr-prd_aaro_databricks_template_Notebook1_181b6d0c-6ada-4502-8a61-9bd6763855f1"",""runId"":""917033420580876"",""jobOwnerId"":""3752187686748374"",""triggerType"":""manual""}","{""notebookId"":""2836153969401949""}",1215-024738-bizxbq5f,124,WriteSerializable,false,"{""numFiles"":""1"",""numOutputRows"":""520002"",""numOutputBytes"":""10265310""}",null
124,2023-12-14T13:47:54.000+0000,3752187686748374,[REDACTED],WRITE,"{""mode"":""Overwrite"",""partitionBy"":""[\""id_period_end_date\"",\""id_scenario_version\""]"",""predicate"":""(id_period_end_date='20230831' AND id_scenario_version='0') OR (id_period_end_date='20230930' AND id_scenario_version='0') OR (id_period_end_date='20230131' AND id_scenario_version='15')""}","{""jobId"":""1048773499073742"",""jobName"":""ADF_elx-a2-df-01-sr-prd_aaro_databricks_template_Notebook1_2e302e1b-fdae-497c-b7c5-292e2cef56eb"",""runId"":""728697959514354"",""jobOwnerId"":""3752187686748374"",""triggerType"":""manual""}","{""notebookId"":""2836153969401949""}",1214-134304-wjfog9pc,123,WriteSerializable,false,"{""numFiles"":""3"",""numOutputRows"":""1043152"",""numOutputBytes"":""20490387""}",null
123,2023-12-14T10:56:24.000+0000,3752187686748374,[REDACTED],WRITE,"{""mode"":""Overwrite"",""partitionBy"":""[\""id_period_end_date\"",\""id_scenario_version\""]"",""predicate"":""(id_period_end_date='20220228' AND id_scenario_version='16') OR (id_period_end_date='20220331' AND id_scenario_version='16') OR (id_period_end_date='20221031' AND id_scenario_version='16') OR (id_period_end_date='20220630' AND id_scenario_version='16') OR (id_period_end_date='20230630' AND id_scenario_version='0') OR (id_period_end_date='20230331' AND id_scenario_version='0') OR (id_period_end_date='20220531' AND id_scenario_version='16') OR (id_period_end_date='20220131' AND id_scenario_version='16') OR (id_period_end_date='20220430' AND id_scenario_version='16') OR (id_period_end_date='20230531' AND id_scenario_version='0') OR (id_period_end_date='20230430' AND id_scenario_version='0') OR (id_period_end_date='20230731' AND id_scenario_version='0') OR (id_period_end_date='20220831' AND id_scenario_version='16') OR (id_period_end_date='20220930' AND id_scenario_version='16') OR (id_period_end_date='20221231' AND id_scenario_version='16') OR (id_period_end_date='20221231' AND id_scenario_version='0') OR (id_period_end_date='20220731' AND id_scenario_version='16') OR (id_period_end_date='20221130' AND id_scenario_version='16') OR (id_period_end_date='20230131' AND id_scenario_version='15') OR (id_period_end_date='20230131' AND id_scenario_version='0') OR (id_period_end_date='20230228' AND id_scenario_version='0')""}","{""jobId"":""321633406981247"",""jobName"":""ADF_elx-a2-df-01-sr-prd_aaro_databricks_template_Notebook1_a7cb6206-fff4-4766-90b6-4aaf98312a61"",""runId"":""708059067788985"",""jobOwnerId"":""3752187686748374"",""triggerType"":""manual""}","{""notebookId"":""2836153969401949""}",1214-105046-zo7yrm4b,122,WriteSerializable,false,"{""numFiles"":""21"",""numOutputRows"":""4060053"",""numOutputBytes"":""79867198""}",null
122,2023-12-14T06:54:19.000+0000,3752187686748374,[REDACTED],WRITE,"{""mode"":""Overwrite"",""partitionBy"":""[\""id_period_end_date\"",\""id_scenario_version\""]"",""predicate"":""(id_period_end_date='20221031' AND id_scenario_version='15') OR (id_period_end_date='20220831' AND id_scenario_version='15') OR (id_period_end_date='20220531' AND id_scenario_version='15') OR (id_period_end_date='20221130' AND id_scenario_version='15') OR (id_period_end_date='20220930' AND id_scenario_version='15') OR (id_period_end_date='20221231' AND id_scenario_version='15') OR (id_period_end_date='20220731' AND id_scenario_version='15') OR (id_period_end_date='20220331' AND id_scenario_version='15') OR (id_period_end_date='20220430' AND id_scenario_version='15') OR (id_period_end_date='20220228' AND id_scenario_version='15') OR (id_period_end_date='20220630' AND id_scenario_version='15') OR (id_period_end_date='20220131' AND id_scenario_version='15') OR (id_period_end_date='20221130' AND id_scenario_version='0')""}","{""jobId"":""65077988614792"",""jobName"":""ADF_elx-a2-df-01-sr-prd_aaro_databricks_template_Notebook1_686d4ec9-e2ad-4cec-80d8-46185634198b"",""runId"":""485951073974642"",""jobOwnerId"":""3752187686748374"",""triggerType"":""manual""}","{""notebookId"":""2836153969401949""}",1214-065015-laoygnr8,121,WriteSerializable,false,"{""numFiles"":""13"",""numOutputRows"":""504534"",""numOutputBytes"":""9946188""}",null
121,2023-12-14T02:50:30.000+0000,3752187686748374,[REDACTED],WRITE,"{""mode"":""Overwrite"",""partitionBy"":""[\""id_period_end_date\"",\""id_scenario_version\""]"",""predicate"":""(id_period_end_date='20221031' AND id_scenario_version='15') OR (id_period_end_date='20220831' AND id_scenario_version='15') OR (id_period_end_date='20220531' AND id_scenario_version='15') OR (id_period_end_date='20221130' AND id_scenario_version='15') OR (id_period_end_date='20220930' AND id_scenario_version='15') OR (id_period_end_date='20221231' AND id_scenario_version='15') OR (id_period_end_date='20220731' AND id_scenario_version='15') OR (id_period_end_date='20220331' AND id_scenario_version='15') OR (id_period_end_date='20220430' AND id_scenario_version='15') OR (id_period_end_date='20220228' AND id_scenario_version='15') OR (id_period_end_date='20220630' AND id_scenario_version='15') OR (id_period_end_date='20220131' AND id_scenario_version='15') OR (id_period_end_date='20221130' AND id_scenario_version='0')""}","{""jobId"":""305005281217385"",""jobName"":""ADF_elx-a2-df-01-sr-prd_aaro_databricks_template_Notebook1_5275f374-a63c-4645-97d5-7c915ad4950d"",""runId"":""157368728602562"",""jobOwnerId"":""3752187686748374"",""triggerType"":""manual""}","{""notebookId"":""2836153969401949""}",1214-024635-6ch9gd9x,120,WriteSerializable,false,"{""numFiles"":""13"",""numOutputRows"":""504534"",""numOutputBytes"":""9945002""}",null
120,2023-12-13T13:57:16.000+0000,3752187686748374,[REDACTED],WRITE,"{""mode"":""Overwrite"",""partitionBy"":""[\""id_period_end_date\"",\""id_scenario_version\""]"",""predicate"":""(id_period_end_date='20220430' AND id_scenario_version='10') OR (id_period_end_date='20220430' AND id_scenario_version='14') OR (id_period_end_date='20220731' AND id_scenario_version='9') OR (id_period_end_date='20220430' AND id_scenario_version='13') OR (id_period_end_date='20220228' AND id_scenario_version='10') OR (id_period_end_date='20221231' AND id_scenario_version='12') OR (id_period_end_date='20220131' AND id_scenario_version='14') OR (id_period_end_date='20221031' AND id_scenario_version='15') OR (id_period_end_date='20220831' AND id_scenario_version='15') OR (id_period_end_date='20220831' AND id_scenario_version='11') OR (id_period_end_date='20220531' AND id_scenario_version='15') OR (id_period_end_date='20221231' AND id_scenario_version='11') OR (id_period_end_date='20220331' AND id_scenario_version='14') OR (id_period_end_date='20221231' AND id_scenario_version='13') OR (id_period_end_date='20220331' AND id_scenario_version='10') OR (id_period_end_date='20221231' AND id_scenario_version='10') OR (id_period_end_date='20220430' AND id_scenario_version='9') OR (id_period_end_date='20220228' AND id_scenario_version='14') OR (id_period_end_date='20221231' AND id_scenario_version='9') OR (id_period_end_date='20221130' AND id_scenario_version='9') OR (id_period_end_date='20221031' AND id_scenario_version='9') OR (id_period_end_date='20220430' AND id_scenario_version='12') OR (id_period_end_date='20221031' AND id_scenario_version='11') OR (id_period_end_date='20220630' AND id_scenario_version='9') OR (id_period_end_date='20221231' AND id_scenario_version='14') OR (id_period_end_date='20220331' AND id_scenario_version='12') OR (id_period_end_date='20221130' AND id_scenario_version='10') OR (id_period_end_date='20220831' AND id_scenario_version='0') OR (id_period_end_date='20221031' AND id_scenario_version='14') OR (id_period_end_date='20220831' AND id_scenario_version='12') OR (id_period_end_date='20220831' AND id_scenario_version='10') OR (id_period_end_date='20220630' AND id_scenario_version='14') OR (id_period_end_date='20220831' AND id_scenario_version='14') OR (id_period_end_date='20220630' AND id_scenario_version='11') OR (id_period_end_date='20220531' AND id_scenario_version='14') OR (id_period_end_date='20220930' AND id_scenario_version='11') OR (id_period_end_date='20220930' AND id_scenario_version='13') OR (id_period_end_date='20221031' AND id_scenario_version='0') OR (id_period_end_date='20220331' AND id_scenario_version='9') OR (id_period_end_date='20220531' AND id_scenario_version='0') OR (id_period_end_date='20220930' AND id_scenario_version='14') OR (id_period_end_date='20220131' AND id_scenario_version='11') OR (id_period_end_date='20221130' AND id_scenario_version='15') OR (id_period_end_date='20220930' AND id_scenario_version='15') OR (id_period_end_date='20220731' AND id_scenario_version='11') OR (id_period_end_date='20220131' AND id_scenario_version='12') OR (id_period_end_date='20220531' AND id_scenario_version='11') OR (id_period_end_date='20220930' AND id_scenario_version='0') OR (id_period_end_date='20220430' AND id_scenario_version='11') OR (id_period_end_date='20220531' AND id_scenario_version='12') OR (id_period_end_date='20220831' AND id_scenario_version='13') OR (id_period_end_date='20220731' AND id_scenario_version='0') OR (id_period_end_date='20221231' AND id_scenario_version='15') OR (id_period_end_date='20220731' AND id_scenario_version='15') OR (id_period_end_date='20220331' AND id_scenario_version='11') OR (id_period_end_date='20220731' AND id_scenario_version='12') OR (id_period_end_date='20221130' AND id_scenario_version='12') OR (id_period_end_date='20220731' AND id_scenario_version='10') OR (id_period_end_date='20221130' AND id_scenario_version='14') OR (id_period_end_date='20221031' AND id_scenario_version='13') OR (id_period_end_date='20220831' AND id_scenario_version='9') OR (id_period_end_date='20221130' AND id_scenario_version='13') OR (id_period_end_date='20221031' AND id_scenario_version='10') OR (id_period_end_date='20220131' AND id_scenario_version='13') OR (id_period_end_date='20220228' AND id_scenario_version='12') OR (id_period_end_date='20220331' AND id_scenario_version='13') OR (id_period_end_date='20220531' AND id_scenario_version='9') OR (id_period_end_date='20220531' AND id_scenario_version='10') OR (id_period_end_date='20220731' AND id_scenario_version='14') OR (id_period_end_date='20220630' AND id_scenario_version='0') OR (id_period_end_date='20220930' AND id_scenario_version='10') OR (id_period_end_date='20220930' AND id_scenario_version='9') OR (id_period_end_date='20220331' AND id_scenario_version='15') OR (id_period_end_date='20220228' AND id_scenario_version='11') OR (id_period_end_date='20220131' AND id_scenario_version='9') OR (id_period_end_date='20220630' AND id_scenario_version='12') OR (id_period_end_date='20220131' AND id_scenario_version='10') OR (id_period_end_date='20220430' AND id_scenario_version='15') OR (id_period_end_date='20220930' AND id_scenario_version='12') OR (id_period_end_date='20220228' AND id_scenario_version='15') OR (id_period_end_date='20220630' AND id_scenario_version='10') OR (id_period_end_date='20221031' AND id_scenario_version='12') OR (id_period_end_date='20220630' AND id_scenario_version='13') OR (id_period_end_date='20220531' AND id_scenario_version='13') OR (id_period_end_date='20220630' AND id_scenario_version='15') OR (id_period_end_date='20220131' AND id_scenario_version='15') OR (id_period_end_date='20221130' AND id_scenario_version='11') OR (id_period_end_date='20220228' AND id_scenario_version='9') OR (id_period_end_date='20230131' AND id_scenario_version='15') OR (id_period_end_date='20221130' AND id_scenario_version='0') OR (id_period_end_date='20220731' AND id_scenario_version='13') OR (id_period_end_date='20220228' AND id_scenario_version='13')""}","{""jobId"":""805483743538725"",""jobName"":""ADF_elx-a2-df-01-sr-prd_aaro_databricks_template_Notebook1_dd755af0-e6ba-4e2a-9a7c-6c0e43c723fd"",""runId"":""138852552559137"",""jobOwnerId"":""3752187686748374"",""triggerType"":""manual""}","{""notebookId"":""2836153969401949""}",1213-135042-pm5ll5u9,119,WriteSerializable,false,"{""numFiles"":""92"",""numOutputRows"":""3547441"",""numOutputBytes"":""70075766""}",null
